Audiofile,start,end,class
test.wav,37.51,39.24,foreground
test.wav,39.24,39.28,background
test.wav,39.28,39.29,foreground
test.wav,39.29,39.31,background
test.wav,39.31,39.35,foreground
test.wav,39.35,39.36,background
test.wav,39.36,40.51,foreground
test.wav,40.51,40.52,background
test.wav,40.52,40.86,foreground
test.wav,40.86,40.87,background
test.wav,40.87,40.91,foreground
test.wav,40.91,40.92,background
test.wav,40.92,40.99,foreground
test.wav,40.99,41.01,background
test.wav,41.01,41.5,foreground
test.wav,41.5,41.52,background
test.wav,41.52,41.54,foreground
test.wav,41.54,41.58,background
test.wav,41.58,41.81,foreground
test.wav,41.81,41.82,background
test.wav,41.82,43.44,foreground
test.wav,43.44,43.48,background
test.wav,43.48,43.57,foreground
test.wav,43.57,43.58,background
test.wav,43.58,44.47,foreground
test.wav,44.47,44.48,background
test.wav,44.48,44.51,foreground
test.wav,44.51,44.52,background
test.wav,44.52,44.56,foreground
test.wav,44.56,44.62,background
test.wav,44.62,44.64,foreground
test.wav,44.64,44.65,background
test.wav,44.65,44.66,foreground
test.wav,44.66,44.68,background
test.wav,44.68,44.73,foreground
test.wav,44.73,44.74,background
test.wav,44.74,44.79,foreground
test.wav,44.79,44.8,background
test.wav,44.8,45.05,foreground
test.wav,45.05,45.06,background
test.wav,45.06,45.07,foreground
test.wav,45.07,45.08,background
test.wav,45.08,45.26,foreground
test.wav,45.26,45.27,background
test.wav,45.27,45.28,foreground
test.wav,45.28,45.3,background
test.wav,45.3,45.31,foreground
test.wav,45.31,45.33,background
test.wav,45.33,45.34,foreground
test.wav,45.34,45.36,background
test.wav,45.36,45.38,foreground
test.wav,45.38,45.39,background
test.wav,45.39,45.4,foreground
test.wav,45.4,45.41,background
test.wav,45.41,45.82,foreground
test.wav,45.82,45.83,background
test.wav,45.83,46.34,foreground
test.wav,46.34,46.35,background
test.wav,46.35,48.51,foreground
test.wav,48.51,48.52,background
test.wav,48.52,48.54,foreground
test.wav,48.54,48.59,background
test.wav,48.59,48.61,foreground
test.wav,48.61,48.62,background
test.wav,48.62,48.7,foreground
test.wav,48.7,48.71,background
test.wav,48.71,49.47,foreground
test.wav,49.47,49.49,background
test.wav,49.49,50.89,foreground
test.wav,50.89,50.91,background
test.wav,50.91,51.66,foreground
test.wav,51.66,51.67,background
test.wav,51.67,51.96,foreground
test.wav,51.96,51.97,background
test.wav,51.97,53.17,foreground
test.wav,53.17,53.2,background
test.wav,53.2,55.3,foreground
test.wav,55.3,55.31,background
test.wav,55.31,55.35,foreground
test.wav,55.35,55.36,background
test.wav,55.36,55.38,foreground
test.wav,55.38,55.39,background
test.wav,55.39,55.42,foreground
test.wav,55.42,55.43,background
test.wav,55.43,55.7,foreground
test.wav,55.7,55.71,background
test.wav,55.71,56.25,foreground
test.wav,56.25,56.32,background
test.wav,56.32,56.38,foreground
test.wav,56.38,56.39,background
test.wav,56.39,56.42,foreground
test.wav,56.42,56.43,background
test.wav,56.43,56.49,foreground
test.wav,56.49,56.54,background
test.wav,56.54,56.56,foreground
test.wav,56.56,56.57,background
test.wav,56.57,56.59,foreground
test.wav,56.59,56.61,background
test.wav,56.61,56.65,foreground
test.wav,56.65,56.69,background
test.wav,56.69,56.7,foreground
test.wav,56.7,56.72,background
test.wav,56.72,56.74,foreground
test.wav,56.74,56.77,background
test.wav,56.77,56.78,foreground
test.wav,56.78,56.85,background
test.wav,56.85,56.88,foreground
test.wav,56.88,56.89,background
test.wav,56.89,56.92,foreground
test.wav,56.92,56.93,background
test.wav,56.93,57.21,foreground
test.wav,57.21,57.22,background
test.wav,57.22,57.26,foreground
test.wav,57.26,57.27,background
test.wav,57.27,57.3,foreground
test.wav,57.3,57.31,background
test.wav,57.31,57.32,foreground
test.wav,57.32,57.34,background
test.wav,57.34,57.38,foreground
test.wav,57.38,57.41,background
test.wav,57.41,57.44,foreground
test.wav,57.44,57.51,background
test.wav,57.51,57.53,foreground
test.wav,57.53,57.54,background
test.wav,57.54,57.82,foreground
test.wav,57.82,57.83,background
test.wav,57.83,57.85,foreground
test.wav,57.85,57.86,background
test.wav,57.86,58.66,foreground
test.wav,58.66,58.67,background
test.wav,58.67,58.99,foreground
test.wav,58.99,59.0,background
test.wav,59.0,59.26,foreground
test.wav,59.26,59.29,background
test.wav,59.29,59.31,foreground
test.wav,59.31,59.32,background
test.wav,59.32,59.49,foreground
test.wav,59.49,59.5,background
test.wav,59.5,59.54,foreground
test.wav,59.54,59.55,background
test.wav,59.55,59.56,foreground
test.wav,59.56,59.57,background
test.wav,59.57,59.59,foreground
test.wav,59.59,59.62,background
test.wav,59.62,59.67,foreground
test.wav,59.67,59.68,background
test.wav,59.68,59.69,foreground
test.wav,59.69,59.7,background
test.wav,59.7,59.85,foreground
test.wav,59.85,60.01,background
test.wav,60.01,60.03,foreground
test.wav,60.03,60.12,background
test.wav,60.12,60.13,foreground
test.wav,60.13,60.16,background
test.wav,60.16,60.2,foreground
test.wav,60.2,60.25,background
test.wav,60.25,60.27,foreground
test.wav,60.27,60.29,background
test.wav,60.29,60.3,foreground
test.wav,60.3,60.31,background
test.wav,60.31,60.35,foreground
test.wav,60.35,60.43,background
test.wav,60.43,60.44,foreground
test.wav,60.44,60.46,background
test.wav,60.46,60.47,foreground
test.wav,60.47,60.48,background
test.wav,60.48,60.55,foreground
test.wav,60.55,60.56,background
test.wav,60.56,60.58,foreground
test.wav,60.58,60.59,background
test.wav,60.59,60.61,foreground
test.wav,60.61,60.62,background
test.wav,60.62,60.84,foreground
test.wav,60.84,60.85,background
test.wav,60.85,60.88,foreground
test.wav,60.88,60.89,background
test.wav,60.89,60.9,foreground
test.wav,60.9,60.91,background
test.wav,60.91,63.8,foreground
test.wav,63.8,63.82,background
test.wav,63.82,63.84,foreground
test.wav,63.84,63.85,background
test.wav,63.85,65.85,foreground
test.wav,65.85,65.89,background
test.wav,65.89,68.42,foreground
test.wav,68.42,68.43,background
test.wav,68.43,68.45,foreground
test.wav,68.45,68.46,background
test.wav,68.46,68.5,foreground
test.wav,68.5,68.51,background
test.wav,68.51,68.81,foreground
test.wav,68.81,68.82,background
test.wav,68.82,69.98,foreground
test.wav,69.98,69.99,background
test.wav,69.99,70.86,foreground
test.wav,70.86,70.87,background
test.wav,70.87,71.1,foreground
test.wav,71.1,71.11,background
test.wav,71.11,71.12,foreground
test.wav,71.12,71.15,background
test.wav,71.15,73.17,foreground
test.wav,73.17,73.35,background
test.wav,73.35,73.38,foreground
test.wav,73.38,73.39,background
test.wav,73.39,73.67,foreground
test.wav,73.67,73.68,background
test.wav,73.68,76.71,foreground
